category_group,category_id,channel_id,category_name,broad_environment_label,example_count,route_count,scene_count,schema_invalid_example_count,missing_prediction_count,target_example_count,target_route_count,target_scene_count,target_cell_count,predicted_example_count,predicted_cell_count,presence_true_positive_example_count,presence_precision,presence_recall,presence_f1,spatial_true_positive_cell_count,spatial_union_cell_count,spatial_precision,spatial_recall,spatial_f1,spatial_iou,instruction_mentioned_example_count,target_and_mentioned_example_count,target_mention_rate
object,0,0,void,True,1839,613,11,9,0,1047,349,9,5313,873,7651,501,0.5738831615120275,0.4785100286532951,0.521875,177,12787,0.02313423081950072,0.033314511575381144,0.027306386917618018,0.013842183467584266,665,365,0.34861509073543456
object,1,1,chair,False,1839,613,11,9,0,1038,346,10,5025,1009,10350,637,0.6313181367690783,0.6136801541425819,0.6223742061553493,278,15097,0.026859903381642514,0.05532338308457711,0.03616260162601626,0.018414254487646553,163,132,0.12716763005780346
object,2,2,door,False,1839,613,11,9,0,1719,573,9,18012,1811,25861,1695,0.9359469906129211,0.9860383944153578,0.9603399433427762,2289,41584,0.08851165848188391,0.1270819453697535,0.1043466368837326,0.055045209696036934,886,843,0.49040139616055844
object,3,3,table,False,1839,613,11,9,0,1320,440,11,5124,1313,8710,954,0.7265803503427266,0.7227272727272728,0.7246486897075579,231,13603,0.026521239954075775,0.045081967213114756,0.033395980916582337,0.01698154818789973,353,324,0.24545454545454545
object,4,4,cushion,False,1839,613,11,9,0,645,215,7,1623,467,2038,257,0.550321199143469,0.3984496124031008,0.46223021582733814,21,3640,0.010304219823356232,0.012939001848428836,0.011472275334608031,0.0057692307692307696,4,4,0.006201550387596899
object,5,5,sofa,False,1839,613,11,9,0,579,193,9,2286,398,2381,189,0.4748743718592965,0.32642487046632124,0.38689866939611056,18,4649,0.007559848803023939,0.007874015748031496,0.00771373473323334,0.003871800387180039,155,128,0.22107081174438686
object,6,6,bed,False,1839,613,11,9,0,564,188,9,2124,339,1593,218,0.6430678466076696,0.38652482269503546,0.48283499446290146,79,3638,0.04959196484620213,0.0371939736346516,0.04250739843960183,0.0217152281473337,160,135,0.2393617021276596
object,7,7,plant,False,1839,613,11,9,0,753,251,9,2160,608,2867,263,0.43256578947368424,0.34926958831341304,0.38648052902277735,26,5001,0.009068712940355772,0.012037037037037037,0.01034414163517008,0.005198960207958408,61,47,0.06241699867197875
object,8,8,sink,False,1839,613,11,9,0,636,212,8,993,284,671,89,0.31338028169014087,0.139937106918239,0.1934782608695652,3,1661,0.004470938897168405,0.0030211480362537764,0.003605769230769231,0.001806140878988561,98,37,0.05817610062893082
object,9,9,toilet,False,1839,613,11,9,0,408,136,6,726,445,836,96,0.2157303370786517,0.23529411764705882,0.2250879249706917,1,1561,0.0011961722488038277,0.0013774104683195593,0.0012804097311139564,0.0006406149903907751,26,11,0.02696078431372549
object,10,10,tv_monitor,False,1839,613,11,9,0,72,24,3,102,85,186,3,0.03529411764705882,0.041666666666666664,0.03821656050955414,0,288,0.0,0.0,0.0,0.0,10,2,0.027777777777777776
object,11,11,shower,False,1839,613,11,9,0,300,100,6,606,78,376,29,0.3717948717948718,0.09666666666666666,0.15343915343915343,5,977,0.013297872340425532,0.00825082508250825,0.010183299389002037,0.00511770726714432,12,10,0.03333333333333333
object,12,12,bathtub,False,1839,613,11,9,0,96,32,6,228,66,150,10,0.15151515151515152,0.10416666666666667,0.12345679012345678,2,376,0.013333333333333334,0.008771929824561403,0.010582010582010581,0.005319148936170213,21,11,0.11458333333333333
object,13,13,counter,False,1839,613,11,9,0,666,222,8,2826,376,2160,265,0.7047872340425532,0.3978978978978979,0.508637236084453,119,4867,0.055092592592592596,0.04210898796886058,0.04773365423184918,0.024450380110951304,77,66,0.0990990990990991
object,14,14,appliances,False,1839,613,11,9,0,453,151,9,777,301,893,203,0.6744186046511628,0.4481236203090508,0.5384615384615384,33,1637,0.036954087346024636,0.04247104247104247,0.03952095808383234,0.020158827122785584,4,4,0.008830022075055188
object,15,15,structure,True,1839,613,11,9,0,1839,613,11,67614,1830,73330,1830,1.0,0.9951060358890701,0.9975470155355682,22485,118459,0.3066275739806355,0.33254947200283963,0.31906289022590534,0.18981250896934804,376,376,0.2044589450788472
object,16,16,other,True,1839,613,11,9,0,1839,613,11,76995,1827,85833,1827,1.0,0.9934747145187602,0.9967266775777414,29344,133484,0.3418731723229993,0.3811156568608351,0.3604294101751542,0.21983159030295765,130,130,0.07069059271343121
object,17,17,free-space,True,1839,613,11,9,0,1839,613,11,27747,1805,44525,1805,1.0,0.9815116911364872,0.9906695938529089,6071,66201,0.13635036496350364,0.21879842865895413,0.16800420633163604,0.09170556336007009,810,810,0.44045676998368677
object,18,18,picture,False,1839,613,11,9,0,741,247,9,1644,514,2359,237,0.46108949416342415,0.31983805668016196,0.3776892430278884,14,3989,0.005934718100890208,0.00851581508515815,0.0069947539345490885,0.0035096515417397845,26,13,0.017543859649122806
object,19,19,cabinet,False,1839,613,11,9,0,1455,485,10,9531,1125,8856,978,0.8693333333333333,0.6721649484536083,0.7581395348837209,586,17801,0.06616982836495032,0.061483579897177634,0.06374068635448958,0.03291949890455592,34,33,0.02268041237113402
object,20,20,chest_of_drawers,False,1839,613,11,9,0,441,147,7,987,316,941,102,0.3227848101265823,0.23129251700680273,0.26948480845442535,10,1918,0.010626992561105207,0.010131712259371834,0.01037344398340249,0.005213764337851929,18,6,0.013605442176870748
object,21,21,stool,False,1839,613,11,9,0,333,111,7,576,324,965,110,0.3395061728395062,0.3303303303303303,0.334855403348554,11,1530,0.011398963730569948,0.019097222222222224,0.01427644386761843,0.00718954248366013,32,16,0.04804804804804805
object,22,22,towel,False,1839,613,11,9,0,300,100,7,411,145,178,38,0.2620689655172414,0.12666666666666668,0.1707865168539326,1,588,0.0056179775280898875,0.0024330900243309003,0.003395585738539898,0.0017006802721088435,3,0,0.0
object,23,23,fireplace,False,1839,613,11,9,0,114,38,5,393,107,657,23,0.21495327102803738,0.20175438596491227,0.2081447963800905,2,1048,0.0030441400304414,0.005089058524173028,0.0038095238095238095,0.0019083969465648854,44,27,0.23684210526315788
object,24,24,gym_equipment,False,1839,613,11,9,0,36,12,2,150,40,165,13,0.325,0.3611111111111111,0.34210526315789475,3,312,0.01818181818181818,0.02,0.01904761904761905,0.009615384615384616,3,0,0.0
object,25,25,seating,False,1839,613,11,9,0,309,103,8,867,394,1273,73,0.18527918781725888,0.23624595469255663,0.20768136557610242,16,2124,0.012568735271013355,0.01845444059976932,0.014953271028037384,0.007532956685499058,52,13,0.042071197411003236
object,26,26,clothes,False,1839,613,11,9,0,108,36,4,270,102,314,22,0.21568627450980393,0.2037037037037037,0.20952380952380953,3,581,0.009554140127388535,0.011111111111111112,0.010273972602739725,0.0051635111876075735,97,6,0.05555555555555555
region,0,27,outdoor/semi-outdoor,False,1839,613,11,9,0,168,56,4,2376,186,7379,48,0.25806451612903225,0.2857142857142857,0.2711864406779661,356,9399,0.04824501965035913,0.14983164983164984,0.07298821117375705,0.03787636982657729,141,27,0.16071428571428573
