baseline_state,candidate_state,count,rate,mean_delta_success,contribution_success,mean_delta_oracle_success,contribution_oracle_success,mean_delta_spl,contribution_spl,mean_delta_ndtw,contribution_ndtw,mean_delta_sdtw,contribution_sdtw,mean_delta_distance_to_goal,contribution_distance_to_goal,mean_delta_steps_taken,contribution_steps_taken,mean_delta_path_length,contribution_path_length,mean_delta_collisions,contribution_collisions,mean_delta_stop_error,contribution_stop_error
S,S,1124,0.6112017400761284,0.0,0.0,0.0,0.0,0.013666093278219243,0.008352739991690283,0.005465887596726234,0.003340760010179604,0.005465887596726234,0.003340760010179604,0.052144293782708906,0.03187068309503253,-2.6147686832740216,-1.5981511691136487,-0.4329439617985084,-0.26461610280670117,0.002594286211852447,0.0015856322469397222,0.0,0.0
S,O,25,0.013594344752582926,-1.0,-0.013594344752582926,0.0,0.0,-0.5546054080683593,-0.007539497118928212,-0.14785307199900738,-0.002009965633482971,-0.538268928844481,-0.0073174133883154024,3.3131148481369017,0.04503962545047447,24.04,0.32680804785209355,3.777890281677246,0.0513579429265531,-0.019714466344297653,-0.0002680052520975755,1.0,0.013594344752582926
S,N,74,0.04023926046764546,-1.0,-0.04023926046764546,-1.0,-0.04023926046764546,-0.6717905293896905,-0.027032354091809194,-0.23324137572044962,-0.009385460469447129,-0.6313918182079716,-0.025406739830010825,6.49063145303847,0.2611782096383071,14.337837837837839,0.5769439912996194,0.01636598239073882,0.0006585550282298384,0.09219656302272944,0.003709921513693299,0.0,0.0
O,S,41,0.022294725394236,1.0,0.022294725394236,0.0,0.0,0.6979514296883325,0.015560635463415786,0.2552644814705047,0.005691051517286946,0.6838686219806223,0.015246663132792555,-3.081775740152452,-0.06870734385331731,-44.926829268292686,-1.0016313213703099,-5.665138081806462,-0.12630269785430392,-0.0034354541930040547,-7.659250783750203e-05,-1.0,-0.022294725394236
O,O,75,0.040783034257748776,0.0,0.0,0.0,0.0,0.0,0.0,0.011202606349808141,0.0004568762785402994,0.0,0.0,-0.09879536628723144,-0.004029174807798999,4.026666666666666,0.16421968461120173,0.4459232457478841,0.018186103007662484,0.0011832132898426926,4.825502813387811e-05,0.0,0.0
O,N,9,0.004893964110929853,0.0,0.0,-1.0,-0.004893964110929853,0.0,0.0,-0.04210331617508828,-0.00020605211831201437,0.0,0.0,2.768763462702433,0.013550229018119576,-46.0,-0.22512234910277323,-7.7538263532850475,-0.03794694789535912,0.018434261806527286,9.021661569262947e-05,-1.0,-0.004893964110929853
N,S,33,0.01794453507340946,1.0,0.01794453507340946,1.0,0.01794453507340946,0.6962378595084944,0.012493664689385706,0.3764971160507978,0.0067560657040110555,0.6870190266008603,0.012328237018938766,-8.133542735468257,-0.1459526428876849,-52.03030303030303,-0.9336595976073954,-3.8912536519946475,-0.0698267376377506,-0.36244224716272344,-0.006503857616296832,0.0,0.0
N,O,8,0.004350190320826536,0.0,0.0,1.0,0.004350190320826536,0.0,0.0,0.13597165847936354,0.0005915025926236587,0.0,0.0,-2.832346111536026,-0.012321244639634698,4.125,0.01794453507340946,1.8797361850738525,0.008177210158015672,-0.03730022129408248,-0.00016226306163820547,1.0,0.004350190320826536
N,N,450,0.24469820554649266,0.0,0.0,0.0,0.0,0.0,0.0,0.013568637009268313,0.0033202211278796833,0.0,0.0,0.07281689643859864,0.01781816389198988,-13.151111111111112,-3.2180532898314302,-1.7276570166481866,-0.42275457177361825,0.05456486344478819,0.013351924170829076,0.0,0.0
