held_out_scene_id,held_out_episodes,remaining_episodes,delta_success,delta_oracle_success,delta_spl,delta_ndtw,delta_sdtw,delta_distance_to_goal,delta_steps_taken,delta_path_length,delta_collisions,delta_stop_error
mp3d/2azQ1b91cZZ/2azQ1b91cZZ.glb,252,1587,-0.011342155009451797,-0.02205419029615627,0.003143648158408425,0.008481360469395443,-0.0007831301811746366,0.11764673404184316,-6.52930056710775,-0.8960512545248511,0.0081268089055958,-0.010712035286704474
mp3d/8194nk5LbLH/8194nk5LbLH.glb,39,1800,-0.013333333333333334,-0.02277777777777778,0.0013384283256144545,0.007854019281435467,-0.0023367258383110113,0.1289279634360638,-5.353888888888889,-0.7803563148445554,0.012354280071663117,-0.009444444444444445
mp3d/EU6Fwq7SyZv/EU6Fwq7SyZv.glb,132,1707,-0.014645577035735208,-0.022261277094317515,0.0010767128622029163,0.007401929879674532,-0.0026379531703049,0.13456773850248444,-5.229642647920328,-0.7183065432585954,0.010826730997826812,-0.007615700058582308
mp3d/QUCTc6BB5sX/QUCTc6BB5sX.glb,255,1584,-0.013888888888888888,-0.020833333333333332,0.0013599131410075625,0.0058713133764800194,-0.00266745758513811,0.1704655030831657,-5.542929292929293,-0.8118297742171721,0.01188743103020579,-0.006944444444444444
mp3d/TbHJrupSAjP/TbHJrupSAjP.glb,264,1575,-0.013333333333333334,-0.022222222222222223,0.0033361481780906106,0.011254091151337743,-7.820586999614788e-05,0.1263301716650289,-6.433650793650794,-0.9398000131334577,0.013950144623312809,-0.008888888888888889
mp3d/X7HyMhZNoso/X7HyMhZNoso.glb,141,1698,-0.013545347467608953,-0.024734982332155476,0.001684218264513564,0.009281526114343389,-0.0020807635650225056,0.1352241415776163,-6.2249705535924615,-0.9118338213932949,0.013560351794992927,-0.011189634864546525
mp3d/Z6MFQCViBuw/Z6MFQCViBuw.glb,159,1680,-0.01607142857142857,-0.023214285714285715,-0.0006530897605767707,0.006977325096715443,-0.004187003561532687,0.14676629276724443,-5.385119047619048,-0.7306238794610613,0.01297942302599372,-0.007142857142857143
mp3d/oLBMNvg9in8/oLBMNvg9in8.glb,177,1662,-0.013838748495788207,-0.02286401925391095,0.0015315183174711582,0.009817692389117765,-0.0015224415246913251,0.1424420871934377,-6.021660649819495,-0.8684589606042947,0.009941011704331626,-0.009025270758122744
mp3d/pLe4wQe7qrG/pLe4wQe7qrG.glb,18,1821,-0.012630422844590884,-0.022515101592531575,0.002275289192300588,0.008544301819543266,-0.0016360906592931621,0.13794525473581637,-5.993959362987369,-0.8569674642448698,0.011621576753744171,-0.009884678747940691
mp3d/x8F5xyUWy9e/x8F5xyUWy9e.glb,102,1737,-0.013816925734024179,-0.024179620034542316,0.0014998085816237414,0.007851687228103648,-0.0022498646188097307,0.1398023749837329,-5.723661485319516,-0.8322593932461999,0.010192031669248052,-0.010362694300518135
mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,300,1539,-0.01299545159194282,-0.023391812865497075,0.00392984720087182,0.01109313396287716,0.0006673789376771871,0.14399562692578308,-6.503573749187784,-0.9485160833523597,0.014236408476854728,-0.010396361273554255
