scene_id,episodes,success_losses,success_gains,oracle_success_losses,oracle_success_gains,delta_success,delta_oracle_success,delta_spl,delta_ndtw,delta_sdtw,delta_distance_to_goal,delta_steps_taken,delta_path_length,delta_collisions,delta_stop_error
mp3d/2azQ1b91cZZ/2azQ1b91cZZ.glb,252,17,10,12,5,-0.027777777777777776,-0.027777777777777776,-0.006404988802459834,0.009018746480689468,-0.00826583783025235,0.26943553808248705,-1.869047619047619,-0.5093941508777557,0.03475160447830192,0.0
mp3d/8194nk5LbLH/8194nk5LbLH.glb,39,2,1,2,1,-0.02564102564102564,-0.02564102564102564,0.02476260161713523,0.04090790952514035,0.022571481492617434,0.5777638034942822,-30.666666666666668,-3.7374179546649637,-0.014950104289256196,0.0
mp3d/EU6Fwq7SyZv/EU6Fwq7SyZv.glb,132,7,7,7,3,0.0,-0.030303030303030304,0.01164366358631753,0.023466279344393107,0.008917934325475184,0.18860600679887063,-14.43939393939394,-2.4564499818917476,0.02404106248804734,-0.030303030303030304
mp3d/QUCTc6BB5sX/QUCTc6BB5sX.glb,255,16,13,17,8,-0.011764705882352941,-0.03529411764705882,0.004787490328699267,0.025225422704784176,0.003527192486709906,-0.060447977892324034,-8.050980392156863,-1.0371070768318924,0.011078271803398624,-0.023529411764705882
mp3d/TbHJrupSAjP/TbHJrupSAjP.glb,264,14,10,11,4,-0.015151515151515152,-0.026515151515151516,-0.007119397467115224,-0.00754753933822966,-0.012131229111756845,0.21073144753322456,-2.6515151515151514,-0.26596835707173205,-0.001200105000019151,-0.011363636363636364
mp3d/X7HyMhZNoso/X7HyMhZNoso.glb,141,5,3,3,3,-0.014184397163120567,0.0,0.003653261248441564,-0.00019424229851603127,0.0014703390259608138,0.1772519866836832,-1.8652482269503545,-0.014942115080272052,-0.00972217933464802,0.014184397163120567
mp3d/Z6MFQCViBuw/Z6MFQCViBuw.glb,159,4,6,6,3,0.012578616352201259,-0.018867924528301886,0.028126435515366456,0.025224761104291633,0.02332293869576838,0.050539312403906814,-11.232704402515724,-2.0311481097959123,-0.00094830579847063,-0.031446540880503145
mp3d/oLBMNvg9in8/oLBMNvg9in8.glb,177,10,8,9,5,-0.011299435028248588,-0.022598870056497175,0.00468660455105778,-0.003301477811578587,-0.004494468455992983,0.1009286644389737,-4.661016949152542,-0.6046433583491266,0.028998240729454557,-0.011299435028248588
mp3d/pLe4wQe7qrG/pLe4wQe7qrG.glb,18,2,0,1,0,-0.1111111111111111,-0.05555555555555555,-0.0426882872225044,0.009637198037557207,-0.019249868898605096,0.1891563137372335,4.555555555555555,0.5631714132097032,0.027319932952471232,0.05555555555555555
mp3d/x8F5xyUWy9e/x8F5xyUWy9e.glb,102,8,7,2,2,-0.00980392156862745,0.0,0.007546519047978953,0.02053198492988507,0.005707805020831004,0.11535683504360564,-8.735294117647058,-1.027118636112587,0.03873618678655642,0.00980392156862745
mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,300,14,9,13,7,-0.016666666666666666,-0.02,-0.008910407976558132,-0.004465633302678786,-0.014509716386109772,0.10997950894137223,-2.7466666666666666,-0.30211471557617187,-0.0008506086138893567,-0.0033333333333333335
