episode_id,scene_id,cache_missing,baseline_success,candidate_success,delta_success,baseline_oracle_success,candidate_oracle_success,delta_oracle_success,baseline_spl,candidate_spl,delta_spl,baseline_ndtw,candidate_ndtw,delta_ndtw,baseline_sdtw,candidate_sdtw,delta_sdtw,baseline_distance_to_goal,candidate_distance_to_goal,delta_distance_to_goal,baseline_steps_taken,candidate_steps_taken,delta_steps_taken,baseline_path_length,candidate_path_length,delta_path_length,baseline_collisions,candidate_collisions,delta_collisions,baseline_stop_error,candidate_stop_error,delta_stop_error
13,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9441309826616747,1.0,0.05586901733832528,0.9567362201196138,0.9646195193350778,0.007883299215464046,0.9567362201196138,0.9646195193350778,0.007883299215464046,0.35421207547187805,0.9292094111442566,0.5749973356723785,64.0,59.0,-5.0,12.749998092651367,11.499998092651367,-1.25,0.0,0.0,0.0,0.0,0.0,0.0
14,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9459393227588216,0.9459393227588216,0.0,0.9404891245715092,0.9404891245715092,0.0,0.9404891245715092,0.9404891245715092,0.0,0.2235850691795349,0.2235850691795349,0.0,67.0,67.0,0.0,12.725624084472656,12.725624084472656,0.0,0.09615384615384616,0.09615384615384616,0.0,0.0,0.0,0.0
15,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.8770215586602892,0.0,-0.8770215586602892,0.9078055129398515,0.6093567564989861,-0.2984487564408653,0.9078055129398515,0.0,-0.9078055129398515,1.2110750675201416,8.04448413848877,6.833409070968628,72.0,52.0,-20.0,13.725624084472656,8.749998092651367,-4.975625991821289,0.08928571428571429,0.0,-0.08928571428571429,0.0,0.0,0.0
16,mp3d/2azQ1b91cZZ/2azQ1b91cZZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8922818666653523,0.8922818666653523,0.0,0.8922818666653523,0.8922818666653523,0.0,2.2286908626556396,2.2286908626556396,0.0,40.0,40.0,0.0,6.503945350646973,6.503945350646973,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0
17,mp3d/2azQ1b91cZZ/2azQ1b91cZZ.glb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009250277108826165,0.04182777067051068,0.03257749356168452,0.0,0.0,0.0,10.735626220703125,13.636940956115723,2.9013147354125977,199.0,159.0,-40.0,29.50406265258789,22.754058837890625,-6.750003814697266,0.008403361344537815,0.010869565217391304,0.0024662038728534893,0.0,0.0,0.0
18,mp3d/2azQ1b91cZZ/2azQ1b91cZZ.glb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008947864187247443,0.008947864187247443,0.0,0.0,0.0,0.0,8.487829208374023,8.487829208374023,0.0,203.0,203.0,0.0,30.50406265258789,30.50406265258789,0.0,0.008130081300813009,0.008130081300813009,0.0,0.0,0.0,0.0
19,mp3d/QUCTc6BB5sX/QUCTc6BB5sX.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.911497531484362,0.911497531484362,0.0,0.7018417153985697,0.7018417153985697,0.0,0.7018417153985697,0.7018417153985697,0.0,0.34143200516700745,0.34143200516700745,0.0,87.0,87.0,0.0,14.487374305725098,14.487374305725098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,mp3d/QUCTc6BB5sX/QUCTc6BB5sX.glb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37865113296216674,0.37865113296216674,0.0,0.0,0.0,0.0,4.92535924911499,4.92535924911499,0.0,61.0,61.0,0.0,11.624261856079102,11.624261856079102,0.0,0.021739130434782608,0.021739130434782608,0.0,0.0,0.0,0.0
21,mp3d/QUCTc6BB5sX/QUCTc6BB5sX.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.8255871115831441,0.911497531484362,0.08591041990121784,0.6790458970602787,0.7018417153985697,0.02279581833829092,0.6790458970602787,0.7018417153985697,0.02279581833829092,0.34143200516700745,0.34143200516700745,0.0,107.0,87.0,-20.0,15.994927406311035,14.487374305725098,-1.5075531005859375,0.0,0.0,0.0,0.0,0.0,0.0
22,mp3d/TbHJrupSAjP/TbHJrupSAjP.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9142145193380425,1.0,0.08578548066195746,0.9342196686735798,0.936200082499479,0.0019804138258991966,0.9342196686735798,0.936200082499479,0.0019804138258991966,0.2974698841571808,0.996239960193634,0.6987700760364532,49.0,43.0,-6.0,9.161970138549805,7.911970615386963,-1.2499995231628418,0.0,0.0,0.0,0.0,0.0,0.0
