baseline_state,candidate_state,count,rate,mean_delta_success,contribution_success,mean_delta_oracle_success,contribution_oracle_success,mean_delta_spl,contribution_spl,mean_delta_ndtw,contribution_ndtw,mean_delta_sdtw,contribution_sdtw,mean_delta_distance_to_goal,contribution_distance_to_goal,mean_delta_steps_taken,contribution_steps_taken,mean_delta_path_length,contribution_path_length,mean_delta_collisions,contribution_collisions,mean_delta_stop_error,contribution_stop_error
S,S,1132,0.6155519303969549,0.0,0.0,0.0,0.0,0.008416179288128461,0.005180595407374341,0.004298454586387455,0.002645922018374443,0.004298454586387455,0.002645922018374443,0.02785500136694407,0.017146199862632237,-2.312720848056537,-1.423599782490484,-0.3798602827867434,-0.23382373035051304,0.0036161864899480795,0.00222595057456293,0.0,0.0
S,O,22,0.011963023382272975,-1.0,-0.011963023382272975,0.0,0.0,-0.6490926532324076,-0.007765110587880894,-0.13163037088133148,-0.0015746972046706323,-0.6380985337886914,-0.007633587679908217,3.347710031677376,0.04004873338602625,-0.18181818181818182,-0.002175095160413268,0.27623473514210095,0.0033046025955009357,0.028036810304610027,0.0003354050172384016,1.0,0.011963023382272975
S,N,69,0.037520391517128875,-1.0,-0.037520391517128875,-1.0,-0.037520391517128875,-0.6389255396459266,-0.023972736397808007,-0.24395635890329262,-0.009153338099144748,-0.5893350774277858,-0.022112082839867993,7.406784649506427,0.27790545993254134,-2.0,-0.07504078303425775,-2.21773226019265,-0.08321018268259535,0.07942606719210617,0.002980097137713608,0.0,0.0
O,S,35,0.019032082653616094,1.0,0.019032082653616094,0.0,0.0,0.6724440082658273,0.012798009945244129,0.2389951908805023,0.004548576226654476,0.6698077163527147,0.012747835819654716,-3.327805159932801,-0.0633350628589712,-50.142857142857146,-0.9543230016313213,-6.2688246182033,-0.11930878827466856,-0.0027601836252683244,-5.253204289526448e-05,-1.0,-0.019032082653616094
O,O,78,0.04241435562805873,0.0,0.0,0.0,0.0,0.0,0.0,0.029320715615509946,0.0012436192593854136,0.0,0.0,-0.013045329314011794,-0.0005533092368096356,-10.08974358974359,-0.4279499728113105,-1.0538541353665865,-0.044698544077538746,0.0053276727412765335,0.0002259698063184174,0.0,0.0
O,N,12,0.0065252854812398045,0.0,0.0,-1.0,-0.0065252854812398045,0.0,0.0,-0.05210219250728318,-0.0003399816803085362,0.0,0.0,2.400994122028351,0.015667172085013708,-18.5,-0.12071778140293637,-3.9755775133768716,-0.025941778227581546,0.021647116454022907,0.00014125361470814296,-1.0,-0.0065252854812398045
N,S,36,0.01957585644371941,1.0,0.01957585644371941,1.0,0.01957585644371941,0.7386655632644784,0.014460011026384572,0.37265866387185087,0.007295112506463641,0.6944754003145686,0.013594950740252566,-8.213582563317484,-0.16078791314813998,-61.138888888888886,-1.1968461120174008,-5.63808497455385,-0.11037034207935759,-0.35407020926337623,-0.0069312275875375445,0.0,0.0
N,O,8,0.004350190320826536,0.0,0.0,1.0,0.004350190320826536,0.0,0.0,0.12407170411321619,0.000539735526321767,0.0,0.0,-2.1051483154296875,-0.009157795825686514,-8.375,-0.03643284393692224,-0.8185431957244873,-0.0035608186872190858,0.024557891516259048,0.00010683150197393821,1.0,0.004350190320826536
N,N,447,0.24306688417618272,0.0,0.0,0.0,0.0,0.0,0.0,0.013790195932086257,0.0033519399573912765,0.0,0.0,0.1760765951485175,0.042798389359101324,-16.644295302013422,-4.045676998368679,-2.258185774421265,-0.5488901800795571,0.04713388755424273,0.011456687186920333,0.0,0.0
