scene_id,episodes,success_losses,success_gains,oracle_success_losses,oracle_success_gains,delta_success,delta_oracle_success,delta_spl,delta_ndtw,delta_sdtw,delta_distance_to_goal,delta_steps_taken,delta_path_length,delta_collisions,delta_stop_error
mp3d/2azQ1b91cZZ/2azQ1b91cZZ.glb,252,15,10,14,5,-0.01984126984126984,-0.03571428571428571,-0.006637831352552583,0.0030467306984386286,-0.008610351909768159,0.4494211984325259,-8.880952380952381,-1.3850898269623044,0.016322833694142815,-0.015873015873015872
mp3d/8194nk5LbLH/8194nk5LbLH.glb,39,5,0,4,1,-0.1282051282051282,-0.07692307692307693,-0.029581184974316256,0.03215472112320426,-0.00801852810477505,1.3278700648209987,-40.94871794871795,-5.75486403856522,0.02250778180390215,0.05128205128205128
mp3d/EU6Fwq7SyZv/EU6Fwq7SyZv.glb,132,5,3,5,2,-0.015151515151515152,-0.022727272727272728,-0.000592166461478737,0.01747919668794389,-0.009056271853915363,0.1756697946764303,-18.87878787878788,-2.8059019175442783,0.026288519999158624,-0.007575757575757576
mp3d/QUCTc6BB5sX/QUCTc6BB5sX.glb,255,12,12,14,7,0.0,-0.027450980392156862,0.015581672538654983,0.02654074899630968,0.016795786088169458,0.0077457191605193945,-10.976470588235294,-1.40948626574348,0.008543274143547264,-0.027450980392156862
mp3d/TbHJrupSAjP/TbHJrupSAjP.glb,264,12,9,11,4,-0.011363636363636364,-0.026515151515151516,-0.00947608690410571,0.0003230674887002895,-0.006609746699604306,0.11642142400060865,-4.378787878787879,-0.4523045872197007,-0.0008422259840731714,-0.015151515151515152
mp3d/X7HyMhZNoso/X7HyMhZNoso.glb,141,5,4,3,3,-0.0070921985815602835,0.0,-0.00040801081336908155,-0.00205196942685075,0.0008943351474926832,-0.002933994305472002,-1.3404255319148937,-0.15702656482128388,-0.006981367322387862,0.0070921985815602835
mp3d/Z6MFQCViBuw/Z6MFQCViBuw.glb,159,4,7,6,5,0.018867924528301886,-0.006289308176100629,0.031164363623371577,0.027938959984521054,0.024338865164900334,-0.026860235340940126,-11.427672955974844,-2.158158263320443,0.0001254625565233792,-0.025157232704402517
mp3d/oLBMNvg9in8/oLBMNvg9in8.glb,177,8,8,7,5,0.0,-0.011299435028248588,0.0059566563467850905,-0.0018097440612511759,0.002740173851377305,0.07029867003866508,-5.677966101694915,-0.6963475841586872,0.02934262883441498,-0.011299435028248588
mp3d/pLe4wQe7qrG/pLe4wQe7qrG.glb,18,2,0,2,0,-0.1111111111111111,-0.1111111111111111,-0.0520152137780275,0.001993076738978682,-0.029610293730272377,0.4503376715713077,-5.444444444444445,-0.5395252969529893,0.03985326434173483,0.0
mp3d/x8F5xyUWy9e/x8F5xyUWy9e.glb,102,8,9,3,4,0.00980392156862745,0.00980392156862745,0.02501528605272276,0.029730811098834763,0.021888517588461585,0.09566153341210355,-12.509803921568627,-1.406621685215071,0.04005399896014101,0.0
mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,300,15,9,12,8,-0.02,-0.013333333333333334,-0.016151922489322873,-0.007823958086137145,-0.021442270892396607,0.15728355079889297,-1.8833333333333333,-0.2692532237370809,-0.0005376160947516138,0.006666666666666667
