held_out_scene_id,held_out_episodes,remaining_episodes,delta_success,delta_oracle_success,delta_spl,delta_ndtw,delta_sdtw,delta_distance_to_goal,delta_steps_taken,delta_path_length,delta_collisions,delta_stop_error
mp3d/2azQ1b91cZZ/2azQ1b91cZZ.glb,252,1587,-0.00945179584120983,-0.017643352236925015,0.0018660670542835233,0.009431847406895058,0.0004900791876831886,0.11373205637299909,-8.187775677378703,-1.1317898082372597,0.009561990080927828,-0.008191556395715185
mp3d/8194nk5LbLH/8194nk5LbLH.glb,39,1800,-0.008333333333333333,-0.01888888888888889,0.001356878404612797,0.008045602137191124,-0.0005996280079567383,0.13442221274495952,-7.575,-1.0670852025349935,0.01022801603278015,-0.010555555555555556
mp3d/EU6Fwq7SyZv/EU6Fwq7SyZv.glb,132,1707,-0.01054481546572935,-0.01991798476859988,0.0008007503732981219,0.007866938493228118,-0.00011518753701905555,0.15849941568345477,-7.463386057410662,-1.0397270116878659,0.009266636033665796,-0.009373169302870533
mp3d/QUCTc6BB5sX/QUCTc6BB5sX.glb,255,1584,-0.012626262626262626,-0.01893939393939394,-0.0016948305448562624,0.005661759454981075,-0.003582688423542656,0.18419934159281165,-7.849116161616162,-1.1273826163525533,0.010801576668403978,-0.006313131313131313
mp3d/TbHJrupSAjP/TbHJrupSAjP.glb,264,1575,-0.010793650793650795,-0.01904761904761905,0.0024066043536435607,0.009937033748401342,0.0002240762655791625,0.16699152986208599,-8.937142857142858,-1.2862124768514482,0.01238766984708049,-0.008253968253968255
mp3d/X7HyMhZNoso/X7HyMhZNoso.glb,141,1698,-0.011189634864546525,-0.021790341578327443,0.0007928412479327098,0.009437836077700204,-0.0008940837845729235,0.17323946328976306,-8.85924617196702,-1.2503252746921265,0.011939107857369341,-0.01060070671378092
mp3d/Z6MFQCViBuw/Z6MFQCViBuw.glb,159,1680,-0.01369047619047619,-0.02142857142857143,-0.002182392203459155,0.0067225138888155605,-0.0031321027212068506,0.17739148386199738,-7.9851190476190474,-1.0726463679756437,0.011469216549326925,-0.007738095238095238
mp3d/oLBMNvg9in8/oLBMNvg9in8.glb,177,1662,-0.012033694344163659,-0.0210589651022864,0.000141026919930048,0.009660916167021931,-0.0011294005909158475,0.16925634829849723,-8.560168471720818,-1.2165701201389556,0.008480497620737064,-0.009025270758122744
mp3d/pLe4wQe7qrG/pLe4wQe7qrG.glb,18,1821,-0.009884678747940691,-0.019220208676551345,0.0012218499518446984,0.008621769681190211,-0.00047175602595466944,0.15685932860003435,-8.310818231740802,-1.1726972030323328,0.010198173306537741,-0.009335529928610654
mp3d/x8F5xyUWy9e/x8F5xyUWy9e.glb,102,1737,-0.012089810017271158,-0.021876799078871616,-0.0007270260581882677,0.007313514817885921,-0.002086748304220747,0.16349420786465835,-8.034542314335061,-1.1523993380397781,0.00875228811480833,-0.00978698906160046
mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,300,1539,-0.009096816114359974,-0.021442495126705652,0.003985894516635193,0.011750035995185272,0.0032752620255429676,0.16020912945372204,-9.530214424951268,-1.3414016211474384,0.012637762948526273,-0.012345679012345678
