episode_id,scene_id,cache_missing,baseline_success,candidate_success,delta_success,baseline_oracle_success,candidate_oracle_success,delta_oracle_success,baseline_spl,candidate_spl,delta_spl,baseline_ndtw,candidate_ndtw,delta_ndtw,baseline_sdtw,candidate_sdtw,delta_sdtw,baseline_distance_to_goal,candidate_distance_to_goal,delta_distance_to_goal,baseline_steps_taken,candidate_steps_taken,delta_steps_taken,baseline_path_length,candidate_path_length,delta_path_length,baseline_collisions,candidate_collisions,delta_collisions,baseline_stop_error,candidate_stop_error,delta_stop_error
1,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.8606293939890693,-0.13937060601093065,0.9429388089030235,0.894944542541821,-0.04799426636120252,0.9429388089030235,0.894944542541821,-0.04799426636120252,0.8068112134933472,1.1074488162994385,0.3006376028060913,41.0,49.0,8.0,7.500001907348633,9.250001907348633,1.75,0.0,0.0,0.0,0.0,0.0,0.0
2,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9429388089030235,0.9429388089030235,0.0,0.9429388089030235,0.9429388089030235,0.0,0.8068112134933472,0.8068112134933472,0.0,41.0,41.0,0.0,7.500001907348633,7.500001907348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9429388089030235,0.9429388089030235,0.0,0.9429388089030235,0.9429388089030235,0.0,0.8068112134933472,0.8068112134933472,0.0,41.0,41.0,0.0,7.500001907348633,7.500001907348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,mp3d/TbHJrupSAjP/TbHJrupSAjP.glb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4923657546422849,0.4923657546422849,0.0,0.0,0.0,0.0,7.400137901306152,7.400137901306152,0.0,90.0,90.0,0.0,11.037290573120117,11.037290573120117,0.0,0.16326530612244897,0.16326530612244897,0.0,0.0,0.0,0.0
5,mp3d/TbHJrupSAjP/TbHJrupSAjP.glb,0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.8430159585348727,0.0,-0.8430159585348727,0.8655524624292783,0.47103975943292736,-0.39451270299635094,0.8655524624292783,0.0,-0.8655524624292783,0.797720730304718,8.61046314239502,7.8127424120903015,111.0,111.0,0.0,11.459604263305664,12.10816764831543,0.6485633850097656,0.3148148148148148,0.18518518518518517,-0.12962962962962965,0.0,0.0,0.0
6,mp3d/TbHJrupSAjP/TbHJrupSAjP.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.8540246440293754,0.8009220257462897,-0.05310261828308571,0.8251163446971721,0.8371201581466643,0.012003813449492196,0.8251163446971721,0.8371201581466643,0.012003813449492196,1.1264197826385498,0.48494091629981995,-0.6414788663387299,115.0,120.0,5.0,11.311885833740234,12.061884880065918,0.7499990463256836,0.36363636363636365,0.3448275862068966,-0.018808777429467072,0.0,0.0,0.0
7,mp3d/x8F5xyUWy9e/x8F5xyUWy9e.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9957915966765253,0.9957915966765253,0.0,0.9502403960777535,0.9502403960777535,0.0,0.9502403960777535,0.9502403960777535,0.0,1.074582576751709,1.074582576751709,0.0,54.0,54.0,0.0,10.496437072753906,10.496437072753906,0.0,0.023255813953488372,0.023255813953488372,0.0,0.0,0.0,0.0
8,mp3d/x8F5xyUWy9e/x8F5xyUWy9e.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.959264501554123,0.959264501554123,0.0,0.959264501554123,0.959264501554123,0.0,0.8840233087539673,0.8840233087539673,0.0,47.0,47.0,0.0,9.749999046325684,9.749999046325684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,mp3d/x8F5xyUWy9e/x8F5xyUWy9e.glb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477693111571876,0.5463239905279639,0.06863087895608788,0.0,0.0,0.0,9.65466022491455,9.117965698242188,-0.5366945266723633,60.0,55.0,-5.0,12.206552505493164,11.455612182617188,-0.7509403228759766,0.0,0.0,0.0,0.0,0.0,0.0
10,mp3d/2azQ1b91cZZ/2azQ1b91cZZ.glb,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4664192354267501,0.14010941808356753,-0.3263098173431826,0.0,0.0,0.0,4.687075614929199,8.6334810256958,3.9464054107666016,54.0,109.0,55.0,12.0,17.250001907348633,5.250001907348633,0.0,0.0,0.0,1.0,1.0,0.0
11,mp3d/2azQ1b91cZZ/2azQ1b91cZZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.8621781667073568,0.8621781667073568,0.0,0.8432483809079323,0.8432483809079323,0.0,0.8432483809079323,0.8432483809079323,0.0,0.9826689958572388,0.9826689958572388,0.0,37.0,37.0,0.0,8.25,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,mp3d/2azQ1b91cZZ/2azQ1b91cZZ.glb,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4354318180969989,0.4354318180969989,0.0,0.0,0.0,0.0,4.937219142913818,4.937219142913818,0.0,54.0,54.0,0.0,12.249999046325684,12.249999046325684,0.0,0.0,0.0,0.0,1.0,1.0,0.0
13,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9441309826616747,1.0,0.05586901733832528,0.9567362201196138,0.9646195193350778,0.007883299215464046,0.9567362201196138,0.9646195193350778,0.007883299215464046,0.35421207547187805,0.9292094111442566,0.5749973356723785,64.0,59.0,-5.0,12.749998092651367,11.499998092651367,-1.25,0.0,0.0,0.0,0.0,0.0,0.0
14,mp3d/zsNo4HB9uLZ/zsNo4HB9uLZ.glb,0,1.0,1.0,0.0,1.0,1.0,0.0,0.9459393227588216,0.9459393227588216,0.0,0.9404891245715092,0.9404891245715092,0.0,0.9404891245715092,0.9404891245715092,0.0,0.2235850691795349,0.2235850691795349,0.0,67.0,67.0,0.0,12.725624084472656,12.725624084472656,0.0,0.09615384615384616,0.09615384615384616,0.0,0.0,0.0,0.0
